ID,tmnode1,App ID,device ID,Counter,Hex payload,Battery,light level,event,Temperature,Time,Frequency,protocol,timestamp,time
(1, 'home-node2', 'F800000000000000',3,25062, 0x0d7000270973,3440,39, 'motion',24.19, '2020-07-26T15:08:11.60219019Z',867.9, 'LORA',1977548500,2020-07-26T15:08:11.59368Z\
(2, 'home-node2', 'F800000000000000',2,25063, 0x0d7000290973,3440,41, 'interval',24.19, '2020-07-26T15:09:04.75448043Z',867.5, 'LORA',2030669772,2020-07-26T15:09:04.721585Z\
(3, 'home-node2', 'F800000000000000',3,25064, 0x0d70002f0973,3440,47, 'motion',24.19, '2020-07-26T15:10:00.48652785Z',867.1, 'LORA',2085721851,2020-07-26T15:09:59.766963Z\
(4, 'home-node2', 'F800000000000000',3,25065, 0x0d7000210979,3440,33, 'motion',24.25, '2020-07-26T15:10:12.272896208Z',867.7, 'LORA',2098219284,2020-07-26T15:10:12.26556Z\
(5, 'home-node2', 'F800000000000000',2,25066, 0x0d6a002b0979,3434,43, 'interval',24.25, '2020-07-26T15:10:14.732670854Z',868.1, 'LORA',2100669275,2020-07-26T15:10:14.723891Z\
(6, 'home-node2', 'F800000000000000',3,25067, 0x0d6a00260973,3434,38, 'motion',24.19, '2020-07-26T15:10:17.217544928Z',868.5, 'LORA',2103154076,2020-07-26T15:10:17.204851Z\
(7, 'home-node2', 'F800000000000000',2,25068, 0x0d70002e0979,3440,46, 'interval',24.25, '2020-07-26T15:11:23.202442894Z',867.1, 'LORA',2169144723,2020-07-26T15:11:23.194998Z\
(8, 'home-node2', 'F800000000000000',2,25069, 0x0d7000290979,3440,41, 'interval',24.25, '2020-07-26T15:12:32.458769313Z',867.1, 'LORA',2238382675,2020-07-26T15:12:32.436577Z\
(9, 'home-node2', 'F800000000000000',2,25070, 0x0d70002b0979,3440,43, 'interval',24.25, '2020-07-26T15:13:41.675613087Z',867.7, 'LORA',2307621676,2020-07-26T15:13:41.668738Z\
(10, 'home-node2', 'F800000000000000',2,25071, 0x0d70002a0979,3440,42, 'interval',24.25, '2020-07-26T15:14:50.923111095Z',868.5, 'LORA',2376860307,2020-07-26T15:14:50.909577Z\
(11, 'home-node2', 'F800000000000000',2,25072, 0x0d7000270979,3440,39, 'interval',24.25, '2020-07-26T15:16:00.154161085Z',867.5, 'LORA',2446099788,2020-07-26T15:16:00.146469Z\
(12, 'home-node2', 'F800000000000000',2,25073, 0x0d7000240979,3440,36, 'interval',24.25, '2020-07-26T15:17:09.426926922Z',867.1, 'LORA',2515339027,2020-07-26T15:17:09.391252Z\
(13, 'home-node2', 'F800000000000000',2,25074, 0x0d7000230979,3440,35, 'interval',24.25, '2020-07-26T15:18:18.648217001Z',868.1, 'LORA',2584577619,2020-07-26T15:18:18.631712Z\
(14, 'home-node2', 'F800000000000000',2,25075, 0x0d700023097f,3440,35, 'interval',24.31, '2020-07-26T15:19:28.027295157Z',868.1, 'LORA',2653815403,2020-07-26T15:19:27.864967Z\
(15, 'home-node2', 'F800000000000000',2,25076, 0x0d7000240979,3440,36, 'interval',24.25, '2020-07-26T15:20:37.110534582Z',868.1, 'LORA',2723053915,2020-07-26T15:20:37.098724Z\
(16, 'home-node2', 'F800000000000000',2,25077, 0x0d700024097f,3440,36, 'interval',24.31, '2020-07-26T15:21:46.347553779Z',867.3, 'LORA',2792291051,2020-07-26T15:21:46.338803Z\
(17, 'home-node2', 'F800000000000000',2,25078, 0x0d700025097f,3440,37, 'interval',24.31, '2020-07-26T15:22:55.587316534Z',867.1, 'LORA',2861529147,2020-07-26T15:22:55.580265Z\
(18, 'home-node2', 'F800000000000000',2,25079, 0x0d700027097f,3440,39, 'interval',24.31, '2020-07-26T15:24:05.030864048Z',868.1, 'LORA',2930769091,2020-07-26T15:24:04.817465Z\
(19, 'home-node2', 'F800000000000000',2,25080, 0x0d700027097f,3440,39, 'interval',24.31, '2020-07-26T15:25:14.063645605Z',868.3, 'LORA',3000008603,2020-07-26T15:25:14.054399Z\
(20, 'home-node2', 'F800000000000000',2,25081, 0x0d70002a097f,3440,42, 'interval',24.31, '2020-07-26T15:26:23.299076588Z',868.1, 'LORA',3069247323,2020-07-26T15:26:23.292173Z\
(21, 'home-node2', 'F800000000000000',2,25082, 0x0d70002b097f,3440,43, 'interval',24.31, '2020-07-26T15:27:32.614001759Z',867.9, 'LORA',3138486132,2020-07-26T15:27:32.53578Z\
(22, 'home-node2', 'F800000000000000',2,25083, 0x0d70002c097f,3440,44, 'interval',24.31, '2020-07-26T15:28:41.777416462Z',867.1, 'LORA',3207725003,2020-07-26T15:28:41.770058Z\
